uid;company;position
29380732;Минераловодский филиал ГБУДПО СРРЦ;Старший методист
162559598;ТРЦ МореМолл Сочи-Фристайл;директор
198984436;essar;area manager
225188328;Коллегия адвокатов Карагандинской области;Адвокат Центральной Юридической Консультации г. Караганды
5032496;Госказначейство;нач. отдела
79150891;артис;актер
122378339;Галактика Млечный путь;Джедай имперкой армии принцесы Леи
38992386;xxxxxxxxxxx;XXXXXXXxxxxxx
138332693;ПОСТАВСКОЕ УКС;ИНЖЕНЕР ПО КАЧЕСТВУ
17771283;ООО ТДУралграфит;Технический директор
171755762;Восток Т;полировщик
46485462;МГСУ;Проректор
9038336;Спорт-клуб Индиго;Тренер
286114896;ООО Магистраль;Заместитель главного инженера
155289668;ЖКХ;водитель
39329131;ООО Яливец;работяга
21742133;МОУ Мамаканская СОШ;учитель, зам.директора по воспитательной работе
54153784;завод СЗФ;дежурная на электроподстанции
104147699;ЕПК;СТУДЕНТ ПРОХЛАДНОЙ ЖИЗНИ
215098521;Салон SOFI;Администратор
218796305;в органах;Старший инспектор
211660460;КП ОГЭТ;Водитель трамвая
115853111;войсковая часть;разная
98911552;школа 75, больница 12;учитель
135878720;лесничество;мастер леса
71375830;МТТ;Оператор товарный
26836430;Горэлектротранс;Водитель
126809214;ООО Альна;Директор
257507420;Выездной БАТУТ;монтажник
101292478;Высшая Лига;Продавец консультант
134079960;????;????
359371246;ксм;Монтажник
29274351;Priemer Foods;Production operative
17536219;завод Импульс;Главный пиротехник
56481597;Модельное агенство;Модель
136098992;КЧГМА род.дом;акушерка
58896937;еще пока нету));будущий банкир))
87509182;Театры;Актриса
7436556;Департамент социальной адаптации;Фельдшер
100018516;школа  2 торая;ШКОЛЬНИК
58477970;УПЮСТЫНА;ШВЕЯ
102720220;ОАО Биохимик;инженер
240969283;*************************;*************************
145685835;ни где не работаю;выпускник
38930896;Калуга;Бухгалтер
69751680;мене поки це не дуже цікавить....;=р
154096824;оао ржд;помощник машиниста тепловоза
33089394;торговый центр глобус;зам заведующая
7661331;ЦЛ КИПиА, НГМК;Инженер-программист
201054169;Вч 3022;Стрелок
61280371;Zara;Man Section Manager Assistant
76891109;ГУП Белводоканал;инженер-химик ИЛКПВ
96036835;аптека№319;зав.ОГФ
150252383;Sharm El-Sheikh;Diving
185873128;ЦДШИ г.Чехова;Заместитель директора по внеклассной работе
142403184;КСК Авто;охранник
27723907;Компания БугстримМаркетУкраина;офис-менеджер
133132884;киллер;снайпер
194809411;зао амс   мзмо;слесарь - сборщик
369892283;ГБОУ школа №268;Учитель английского языка
114053986;ООО ИнвестГрупп;Директор
15168131;Киев,офис на Красноткацкой;Самый главный
356269738;СК Статус;Начальник отдела
200452702;ABVV West-Vlaanderen;Administrative Assistant
81771653;Преподаватель.;Информатика
4433181;КнААЗ;Технолог
72522905;цу;ццццццц
139904499;ресторан;просто повар
143905323;авто;механик
37261903;ООО Гавриловка;Диспечер по производствы и сбыту товара
206827306;егорлыкская;охраник
195439872;Сакулинсая ООШ;учитель биологии и географии
110605179;ОТДЕЛЕНИЕ ОАО БЕЛАГРОПРОМБАНК;Ведущий СПЕЦИАЛИСТ ПО ОКР
62394198;трутенник!;Пенсионер
113596038;группа Ранетки;ритм-гитара
51932107;НЦРБ;Врач
188701476;красное знамя;литейщица
66983497;ооо Гидравлика;сварщик
147664109;ютз заря;слесарь сантехник
87235998;Площадь ленина;ленин
232506153;ХЛІБА КИЇВЩИНИ;Бригадир
135291244;Южный Двор;Директор
3558897;B.S.A.T.;Инженер
